Category,Cash Sale,Unit / Customer,Selling,Costs,Sharing,Status,Notes
Aluminium Cabinet,CS2604/075 8/5/2026,A-10-01 — Small Yard Aluminium Cabinet,2499,Cabinet Costing:1600,,Completed,Supplier: Classic Home
Aluminium Cabinet,CS2603/166 8/5/26,D-08-26 — Dry Kitchen table top 6ft cabinet,6500,Cabinet Costing:3250; Sink & Paip:250,,Completed,Cabinet: Classic Home · Sink & Paip: Tenn Fasteners
Aluminium Cabinet,CS2604/076 8/5/26,C-13-12 — Dry Kitchen table top 7ft cabinet,7000,Cabinet Costing:3500; Sink & Paip:250,,Completed,Cabinet: Classic Home · Sink & Paip: Tenn Fasteners
Aluminium Cabinet,,A-10-06 — Plaster Ceiling,4500,Cabinet Costing:2800,,Completed,Supplier: Classic Home
Aluminium Cabinet,,A-07-06 — Dry and Yard Kitchen Cabinet,11888,Cabinet Costing:8560; Sink & Paip:250,,Installing,Cabinet: Classic Home · Sink & Paip: Tenn Fasteners · Ask Lee Qing for date install · passed key to them ard
Aluminium Cabinet,,E-12-05 — Shoes Cabinet,4000,Cabinet Costing:2300,,Completed,Supplier: Classic Home · Ask Lee Qing for date install
Aluminium Cabinet,,A-12-08 — Dry and Yard Kitchen Cabinet,11888,Cabinet Costing:8090; Sink & Paip:250,,Installing,Cabinet: Classic Home · Sink & Paip: Tenn Fasteners · Waiting owner pass gas stove to office
Aluminium Cabinet,,B-12-02 — Dry Kitchen Cabinet,12000,Sink & Paip:250,,Chatting,Cabinet: Classic Home · Sink & Paip: Tenn Fasteners
Aluminium Cabinet,,B-11-07,6000,Sink & Paip:500,,Chatting,
EE,CS2605/043 8/5/26,A-10-06 — EE,2490,Costing:1605,,Completed,Supplier: Seng
EE,CS2603/071 / CS2603/138 8/5/26,C-13-12 — EE,3200,Costing:2449,,Completed,Supplier: Seng
EE,CS2603/091 8/5/26,D-01-32 — EE,400,Costing:316,,Completed,Supplier: Seng
EE,CS2602/065 8/5/26,C-01-02 — EE,900,Costing:750,,Completed,Supplier: Kwan · Due to high profit in Smart Home so price lower
EE,CS2605/046 8/5/26,C-03-09 — EE,4700,Costing:3500,,Completed,Supplier: Kwan
EE,CS2604/177 8/5/2026,C-05-02 — EE,5500,Costing:4000,,Completed,Supplier: Kwan
EE,CS2605/044 8/5/2026,E-12-05 — EE,6450,Costing:4685,,Completed,Supplier: Kang
EE,CS2605/047 8/5/26,D-03-26 — EE,4340,Costing:2760,,Collecting Money,Supplier: Kang · Collected 80%
EE,,B-12-08 — Change Plug Location,0,Costing:250,,Completed,Supplier: Kang · charge Mindhome costing
EE,CS2605/182 25/5/2026,A-07-06 — EE,815,Costing:530,,Completed,Supplier: Kang
EE,CS2605/084 14/5/2026,A-10-06 — EE,672,Costing:360,,Completed,Supplier: Kang
Products,CS2602/117,A-03-02 — Products,7020,Costing:5271,,Completed,Supplier: Teck Trading
Products,CS2605/047,D-03-26 — Products,780,Costing:640,,Completed,Supplier: Teck Trading
Products,CS2605/084 14/5/26,A-10-06 — Products,1820,Costing:1424,,Completed,Supplier: Teck Trading
Products,CS2606/018,E-12-05 — Products,995,Costing:800,Sharing:20,Completed,Supplier: Teck Trading
Products,,D-03-26 — Products,5380,Costing:4225,,Collecting Money,Supplier: Teck Trading · 28/5/2026 install
Products,CS2605/043 08/5/26,A-10-06 — Products,5010,Costing:3907,,In Progress,Supplier: Teck Trading · 28/5/2026 install
Products,CS2606/018,E-12-05 — Products,6040,Costing:4682,Sharing:20,Completed,Supplier: Teck Trading · 28/5/2026 install
Products,CS2605/084 14/5/26,A-10-06 — Lighting,322,Costing:174.30,,Completed,Supplier: Tyng Lighning
Products,CS2606/018,E-12-05 — Lighting,430,Costing:242.30,Sharing:20,Completed,Supplier: Tyng Lighning
Products,,D-03-26 — INS AC,1500,Costing:780,,Collecting Money,Supplier: Ah Yong · 28/5/2026 install
Products,CS2605/043,A-10-06 — INS AC,1500,Costing:795,,Completed,Supplier: Ah Yong · 28/5/2026 install
Products,CS2606/018,E-12-05 — INS AC,2000,Costing:1134,Sharing:20,Completed,Supplier: Ah Yong · 28/5/2026 install
Products,CS2606/018,E-12-05 — LIVINOX,3088,Costing:2535.65,Sharing:20,Installing,Supplier: LIVINOX · Waiting MindHome cabinet tgt
Products,CS2605/084 14/05/26,A-10-06 — LIVINOX,550,Costing:372,,Completed,Supplier: LIVINOX
Products,CS2604/203,A-03-02 — LIVINOX,1830,Costing:1477.75,,Completed,Supplier: LIVINOX
